target,ids,date,flag,user,text
4,1996236345,Mon Jun 01 14:45:09 PDT 2009,NO_QUERY,t4ckevint,@linnix Yup. I keep saying that if I only got commission from Apple for every sale I made...I'd be a rich man. 
0,2207112997,Wed Jun 17 07:30:09 PDT 2009,NO_QUERY,lizwinks,@soapboxdave Hmm.. apple is having all kinds of problems. My 3GS (which I pre-ordered on the 8th) still hasn't shipped  #iphone #fail
0,2195374682,Tue Jun 16 11:02:45 PDT 2009,NO_QUERY,dpjoyce,Mac HD was toast. Good news the apple store replaced it for free. Lost a few draft blog posts written on the train though 
0,2297394943,Tue Jun 23 10:23:20 PDT 2009,NO_QUERY,sarah_walter,Darn apple for not sending enough new iPhones out! I was hoping to get mine today 
0,2324744225,Thu Jun 25 03:56:28 PDT 2009,NO_QUERY,qrade,Seeking a new Iphone cable near me. I think I'll have to go to an apple store / apple corner   Not so near.
0,1824779302,Sun May 17 02:53:51 PDT 2009,NO_QUERY,utoopist,Aaargh! Apple wireless keyboard malfunctioning! Noooo! 
0,1976196791,Sat May 30 16:47:55 PDT 2009,NO_QUERY,moeizme,"Hand you back ailing iPhone (with no phone) and say: bizarre! He tells me Apple store will give me new phone, testing that theory 2morrow "
0,2219332412,Thu Jun 18 00:18:02 PDT 2009,NO_QUERY,pnv123,Off to the Apple Store for a 440am  appt. for my MacBook Pro. Noisy fan.   Yes 440am!! 5th AVe store in NYC open 24/7
0,1958057797,Fri May 29 02:31:02 PDT 2009,NO_QUERY,Jane_Howitt,@paulshadwell Thanks for trying! Done just that and no good  If I can't fathom it I'll take it to Apple Store. Sigh...
0,2246272901,Fri Jun 19 17:20:56 PDT 2009,NO_QUERY,eleanorpyc03,Got my iphone and have to call Apple - just like the first one. Once they're activated; they're great.  
0,2212929653,Wed Jun 17 14:43:01 PDT 2009,NO_QUERY,Caprica,"Freaking Apple servers are getting pwnd, so glad I already have 3.0 lol, spent 10mins just to agree with new T&amp;Cs "
4,1564506968,Mon Apr 20 03:49:03 PDT 2009,NO_QUERY,silentrocco,New Apple &quot;Get a Mac&quot; ad: Time Traveler http://tr.im/jdxp ...nice one 
4,1956109346,Thu May 28 21:12:21 PDT 2009,NO_QUERY,adam9344,@SunnyBuns  Glad you're excited about the update! It probably will be out around next Monday or Tuesday assuming Apple approves it.
0,2301380825,Tue Jun 23 15:21:57 PDT 2009,NO_QUERY,GMLGeek,"Bad news for iBook owner -- must buy Apple OS upgrade! Can't update Flash, Firefox or Safari. Running OSX 10.2.8 "
4,2069066704,Sun Jun 07 15:12:03 PDT 2009,NO_QUERY,SEOinSeattle,"iPhone 3GS? @zigojacko Remember the legacy of the Apple ][gs, end of the Apple II line.  Of course they had Mac. "
0,2213826856,Wed Jun 17 15:53:55 PDT 2009,NO_QUERY,EricCorombes,"iPhone 3.0 Rocks!!! I love the search screen, but I'm still waiting for apple to release the &quot;iDisk&quot; App "
0,2226104037,Thu Jun 18 11:32:12 PDT 2009,NO_QUERY,mikewille,"I gave it a few to be sure, but it totally sucks. Apple keyboard keys are much mushier now then the one I bought in Feb. Mediocre at best "
0,2204647693,Wed Jun 17 02:46:09 PDT 2009,NO_QUERY,singraham,Got up early to download iPhone3.0. No show. Rumor is 1PM Eastern. Way to go Apple 
0,2209326055,Wed Jun 17 10:15:49 PDT 2009,NO_QUERY,OldManLink,is a bit disappointed that Apple have pushed the iPhone 3.0 software update back a day  http://bit.ly/UwMnn #fb
4,1792536723,Wed May 13 23:26:09 PDT 2009,NO_QUERY,ChikezieEjiasi,Ahh. Macbook dvi+Samsung 46&quot; = glory... Why havent I done this sooner  Apple tv is now tempting
0,1882120600,Fri May 22 06:16:19 PDT 2009,NO_QUERY,matthewray,The bummer is that Apple wants to charge me $199 to replace the screen and backlight  wonder if I should just wait for the new one #iphone
4,2063934939,Sun Jun 07 04:38:34 PDT 2009,NO_QUERY,mweb1,"Iphone V3 will have all the features/functions that Apple fanboys declared unwanted and irrelevant, cant wait to dig some old posts out "
0,2286579312,Mon Jun 22 16:38:22 PDT 2009,NO_QUERY,nicola_dep,My Apple Macbook is dead  
4,2060959184,Sat Jun 06 19:54:36 PDT 2009,NO_QUERY,OrganizedFellow,"@bhans Best feature of the G1 is that is runs Android, an OpenSource Linux OS -vs- Apple OS on the iPhone, closed source + it's flexible "
0,2237289115,Fri Jun 19 05:32:20 PDT 2009,NO_QUERY,HighTechPro,"Yes, there are long lines for the new iPhone 3G S!  Apple Store in Plano, Texas.  Slow...  http://twitpic.com/7sm4r (via @mclynd)"
0,2210192742,Wed Jun 17 11:16:55 PDT 2009,NO_QUERY,jacob_coy,Typically my iphone worked perfectly at the apple store  it better work 2nite
0,2204070396,Wed Jun 17 01:14:47 PDT 2009,NO_QUERY,Mikizee,"@patrickstewart nup, iTunes is telling me 2.2.1 is the current version. Apple Australia site says June 18th "
4,1687247947,Sun May 03 08:10:52 PDT 2009,NO_QUERY,pilot,"@FlyAArmy apple is a good company, and I've really never had a problem with them. Issues I do have, have always been easily resolved. "
0,2245761742,Fri Jun 19 16:36:06 PDT 2009,NO_QUERY,jakematic,@mmWine Does your Apple TV lock up / act funky? Both of mine do after about a week or so and have to be unplugged and restarted. 
0,2256995575,Sat Jun 20 13:37:46 PDT 2009,NO_QUERY,wdcgator,Big day at the Apple store. I would wait a week if I were you. To confusing to upgrade the IPhone now.. But try if you must I did 
0,1985800041,Sun May 31 17:47:50 PDT 2009,NO_QUERY,Mfiasco,I guess it happens to everyone eventually. Anyone wants to come with me to the apple store tomorrow ... iPhone problems 
