Topic,Sentiment,TweetDate,Year
apple,2,Mon Jun 01 14:45:09 PDT 2009,2009
apple,0,Wed Jun 17 07:30:09 PDT 2009,2009
apple,0,Tue Jun 16 11:02:45 PDT 2009,2009
apple,0,Tue Jun 23 10:23:20 PDT 2009,2009
apple,0,Thu Jun 25 03:56:28 PDT 2009,2009
apple,0,Sun May 17 02:53:51 PDT 2009,2009
apple,0,Sat May 30 16:47:55 PDT 2009,2009
apple,0,Thu Jun 18 00:18:02 PDT 2009,2009
apple,0,Fri May 29 02:31:02 PDT 2009,2009
apple,0,Fri Jun 19 17:20:56 PDT 2009,2009
apple,0,Wed Jun 17 14:43:01 PDT 2009,2009
apple,2,Mon Apr 20 03:49:03 PDT 2009,2009
apple,2,Thu May 28 21:12:21 PDT 2009,2009
apple,0,Tue Jun 23 15:21:57 PDT 2009,2009
apple,2,Sun Jun 07 15:12:03 PDT 2009,2009
apple,0,Wed Jun 17 15:53:55 PDT 2009,2009
apple,0,Thu Jun 18 11:32:12 PDT 2009,2009
apple,0,Wed Jun 17 02:46:09 PDT 2009,2009
apple,0,Wed Jun 17 10:15:49 PDT 2009,2009
apple,2,Wed May 13 23:26:09 PDT 2009,2009
apple,0,Fri May 22 06:16:19 PDT 2009,2009
apple,2,Sun Jun 07 04:38:34 PDT 2009,2009
apple,0,Mon Jun 22 16:38:22 PDT 2009,2009
apple,2,Sat Jun 06 19:54:36 PDT 2009,2009
apple,0,Fri Jun 19 05:32:20 PDT 2009,2009
apple,0,Wed Jun 17 11:16:55 PDT 2009,2009
apple,0,Wed Jun 17 01:14:47 PDT 2009,2009
apple,2,Sun May 03 08:10:52 PDT 2009,2009
apple,0,Fri Jun 19 16:36:06 PDT 2009,2009
apple,0,Sat Jun 20 13:37:46 PDT 2009,2009
apple,0,Sun May 31 17:47:50 PDT 2009,2009
apple,2,Sat Jun 06 11:51:37 PDT 2009,2009
apple,0,Wed Jun 17 16:24:14 PDT 2009,2009
apple,0,Sat May 30 01:02:59 PDT 2009,2009
apple,0,Sun Jun 07 20:21:44 PDT 2009,2009
apple,2,Mon Jun 15 19:54:16 PDT 2009,2009
apple,0,Thu Jun 25 09:55:53 PDT 2009,2009
apple,2,Tue Jun 16 06:36:44 PDT 2009,2009
apple,0,Wed Jun 17 00:00:23 PDT 2009,2009
apple,0,Thu Jun 18 19:00:07 PDT 2009,2009
apple,0,Wed Jun 17 04:06:11 PDT 2009,2009
apple,2,Mon May 04 01:12:42 PDT 2009,2009
apple,0,Mon Jun 01 22:11:10 PDT 2009,2009
apple,2,Mon Jun 15 20:00:53 PDT 2009,2009
apple,0,Wed Jun 17 00:33:49 PDT 2009,2009
