target,ids,date,flag,user,text
0,1754207430,Sun May 10 05:25:01 PDT 2009,NO_QUERY,soapnchocolate,resetting my google reader to zero took more inner strength than i woulda thought. never gonna catch up to 1000+ unread posts though. 
0,1983801996,Sun May 31 13:51:52 PDT 2009,NO_QUERY,AtmaSingh,but i thimk i may have lost my first mini project-has an auto save function which apparently is a bit dodgy according to google 
4,2002175858,Tue Jun 02 03:23:52 PDT 2009,NO_QUERY,seolyze,Need to work  Learn Your Google Position Online for Free:   www.googleposition.com
0,1795696455,Thu May 14 08:12:58 PDT 2009,NO_QUERY,bigalittlea,@CubanaLAF @ChrisSpags @alexis309 maybe Google got mad when I yelled at it before... 
4,1991188308,Mon Jun 01 06:34:23 PDT 2009,NO_QUERY,chegrimandi,heh google now has 26 pages indexed with the #theBNParetwats tags 
4,2045236878,Fri Jun 05 10:26:07 PDT 2009,NO_QUERY,flashlight,@benlucier Way to turn my gentle knock into a google indexable self-promo piece 
4,1956688185,Thu May 28 22:26:44 PDT 2009,NO_QUERY,lfnovo,"I am absolutely in love with Google Wave (demo http://bit.ly/HoVKe). Quite an interesting idea. @google, can I have a beta account?  "
4,1972932538,Sat May 30 10:09:31 PDT 2009,NO_QUERY,skbohra,doesnt seems like google calendar is for me or may be it can teach me be more organized? 
4,2015388274,Wed Jun 03 04:31:50 PDT 2009,NO_QUERY,kittynel,@hcore true.. specially where google maps is not very well developed yet 
4,1974676132,Sat May 30 13:37:07 PDT 2009,NO_QUERY,Harith,"3xGoogle on site in my profile: Google customized search across 80+ Danish news sites, Google analytics &amp; Google AdSense. Go Google Go "
0,1971483949,Sat May 30 07:13:10 PDT 2009,NO_QUERY,Bayumurti,one of my site is labeled: 'This site may harm your computer'  by Google 
4,1676368103,Fri May 01 21:50:30 PDT 2009,NO_QUERY,alexlewis,"@ExodusFX Ukiah, way north of SF. Google map it "
4,1960713910,Fri May 29 08:23:38 PDT 2009,NO_QUERY,robothor,@jeaninell arton picked burger king over google  enjoy the regexes!
4,1984984158,Sun May 31 16:11:47 PDT 2009,NO_QUERY,Trinitye,is under creating her Google Analytics presentation for webmastering!! 
4,2053529891,Sat Jun 06 04:52:45 PDT 2009,NO_QUERY,rockbigdave,"Tetris Google ftw.  http://www.google.co.uk/logos/tetris09.gif Looks naff all like Google to me, but win none the less.  &lt;/geekyness&gt;"
0,2200788217,Tue Jun 16 19:22:27 PDT 2009,NO_QUERY,omgitsdustin,@tnrainbeau okay google didnt work this time!  haha
4,2016160092,Wed Jun 03 06:16:49 PDT 2009,NO_QUERY,eschnou,Just got my Google Wave credentials ! Yeepeee ! Let me know if you also have access so that I can wave you 
0,2227937084,Thu Jun 18 13:49:07 PDT 2009,NO_QUERY,newz2000,@dobey @laserjock - read it on google news a while back. Can't find the link now.  Supposedly it helps though.
4,1984916359,Sun May 31 16:03:45 PDT 2009,NO_QUERY,jasonsnitker,If you own an HTC Touch Pro and some day run Google Andoird on it as a personal alternative.  Those are the people who you just thanked 
4,1990906192,Mon Jun 01 06:00:25 PDT 2009,NO_QUERY,normis,@aigarius Google Wave is simple  ? Short answer - no
4,1962678461,Fri May 29 11:27:00 PDT 2009,NO_QUERY,raveninorbit,"Google Wave will kill Google Calendar first, then MS Office. "
4,2190772866,Tue Jun 16 03:41:07 PDT 2009,NO_QUERY,Altavistagoogle,"&quot;To waste time, I recommend Google Earth&quot; . Do nothing, but do eat shredded wheat.  http://www.thepalaceoflight.com/ via @addthis"
4,1969993153,Sat May 30 02:01:16 PDT 2009,NO_QUERY,grunge_princess,@mattyzee I dont want them!! They all use the same google image too! haha..  #marsiscoming
4,1992730286,Mon Jun 01 09:13:46 PDT 2009,NO_QUERY,aykutonen,&quot;Ã¼ÅÃ¼dÃ¼ysen Ã¼zerine google earth&quot;  re: http://ff.im/3sS7z
4,2176424913,Mon Jun 15 03:50:22 PDT 2009,NO_QUERY,nickscipio,"(And for the record, I spelled Ahmadinejad correctly the first time... although I did check Google to make sure I got it right. "
0,1973793647,Sat May 30 11:50:47 PDT 2009,NO_QUERY,Rhea,"I just explained how Google crawls, indexes and ranks sites using concentration camps as a metaphor. "
0,2213499577,Wed Jun 17 15:27:24 PDT 2009,NO_QUERY,Happenstance8,Even the GOOGLE doesn't know.   
4,2069362303,Sun Jun 07 15:44:19 PDT 2009,NO_QUERY,CCLozano,says using Google Calendar to organize my day  http://plurk.com/p/z60zk
0,2187606588,Mon Jun 15 20:31:52 PDT 2009,NO_QUERY,netfortius,Google Chrome for MacOSX still unreliable http://bit.ly/E0eSQ + Wave accounts not available =&gt;putting off Google Apps usage for now 
4,2014999056,Wed Jun 03 03:23:00 PDT 2009,NO_QUERY,yokenkov,http://bit.ly/btFPx - Oh wow! Oh wow! I can't wait. HTML 5 seems something to look forwards to now! Fantastic! Come on Google Wave! 
4,1469270039,Tue Apr 07 05:50:00 PDT 2009,NO_QUERY,ronald_in,Busy archiving yesterday's news while keeping up with today's news in Google Reader 
4,1989788577,Mon Jun 01 02:48:50 PDT 2009,NO_QUERY,yvettedownunder,@Skyring wonderful! I have been wondering where you were blogging! Now subscribed in Google Reader 
4,2190139831,Tue Jun 16 01:52:57 PDT 2009,NO_QUERY,kovster,@Franknl yep - panic time; Google Apps Mail is down too. At least I don't run a business off Google Mail...yet... 
4,2003204726,Tue Jun 02 06:05:20 PDT 2009,NO_QUERY,marcossantos,BING.com??  What's that? google is the best..  tem muito chÃ£o ainda p/ alcanÃ§ar..
4,2014895613,Wed Jun 03 03:02:29 PDT 2009,NO_QUERY,Steven_Rohner,Have some ideas how to combine Google Wave with online marketing functionality... 
0,1792506309,Wed May 13 23:20:26 PDT 2009,NO_QUERY,SoreGums,I read somewhere that Google dropped the &quot;sender&quot; header in emails - They haven't  Outlook still shows From x on behalf of y #fail
0,1556595537,Sat Apr 18 23:29:15 PDT 2009,NO_QUERY,solipsistic,@podcastmama Google described the Optigan as an adult toy and I got excited until I learned that it's an organ 
4,1983240607,Sun May 31 12:46:38 PDT 2009,NO_QUERY,andrew_mcgowan,Has just downloaded google crome. 
4,1992272356,Mon Jun 01 08:29:01 PDT 2009,NO_QUERY,Mia_R,@talithaxoxo google is mine. 
4,1967495124,Fri May 29 19:41:08 PDT 2009,NO_QUERY,Javamonkey,Looking for a google wave invite ???? DM me if you would like to send me an invite 
4,1754330464,Sun May 10 05:53:31 PDT 2009,NO_QUERY,solobasssteve,@euan Google says it's &quot;Summer Madness&quot; by Kool &amp; the Gang -  http://twurl.nl/6ucyq6 (spotify link) 
0,2177771227,Mon Jun 15 06:40:31 PDT 2009,NO_QUERY,aussiemuneca,712 items on my google reader to sort through today  That'll teach me to ignore the internets for the weekend!
