target,ids,date,flag,user,text
4,1995385179,Mon Jun 01 13:24:22 PDT 2009,NO_QUERY,parlar,"@DarkOxygen Microsoft and &quot;for free&quot; will never happen  But now you can gyrate in front of the TV, and it will know what you're doing"
4,2190207202,Tue Jun 16 02:04:20 PDT 2009,NO_QUERY,MrIsaac,@kimballroundy You must be inside the Microsoft firewall 
4,1677279101,Sat May 02 01:16:36 PDT 2009,NO_QUERY,OHOWFUN,"@Nic1971 Notice I didn't comment on if Microsoft was a good thing or a bad thing, only that it was a 'thing'  hahaha "
0,1993516701,Mon Jun 01 10:30:14 PDT 2009,NO_QUERY,Gamedeals_Brian,Damn Microsoft press event hasn't started yet and my plane is boarding early... 
0,1993854101,Mon Jun 01 11:02:00 PDT 2009,NO_QUERY,winstano,"How did microsoft manage to pull off the exclusive reveal of ffxiii gameplay?! #e3expo also, my stream keeps dying "
0,2002298802,Tue Jun 02 03:47:57 PDT 2009,NO_QUERY,Locococomoco,"@Kaboro unless you mind reading on the computer, because microsoft reader doesn't have a print option "
0,1986893497,Sun May 31 19:28:24 PDT 2009,NO_QUERY,airdom,@trixie360 oh btw!Will Microsoft be streaming the conference from its site this year?all gaming sites are blocked at work 
4,2000647345,Mon Jun 01 22:36:12 PDT 2009,NO_QUERY,atomysk,"I just got invited to the Microsoft Game Studios Beta Program; now, time to get my 360 repaired/replaced immediately. "
4,1992032488,Mon Jun 01 08:05:05 PDT 2009,NO_QUERY,Fordy945,"Getting ready for E3, 6:25Pm @ http://xbox.com, Microsoft press conference, Can't wait "
0,2322936256,Wed Jun 24 23:34:28 PDT 2009,NO_QUERY,liwenlee,"okay, microsoft 1, liwen 0. gonna have to use trackpad now. "
4,1469244844,Tue Apr 07 05:44:34 PDT 2009,NO_QUERY,carstenknoch,In BizTalk traing at Microsoft Canada in scenic Mississauga. Day 2 of new job 
0,2231765198,Thu Jun 18 19:00:06 PDT 2009,NO_QUERY,zobi1kenobi,wish there was a Ctrl+Z or Undo in Microsoft Outlook - just moved a heap of stuff into the wrong folder after individually selecting 
0,1880917807,Fri May 22 02:57:57 PDT 2009,NO_QUERY,utsavmaden,@hlehman nope an Microsoft excel 2007 workbook. enabling the share feature does not allow me to change the design or move cells... 
4,1835754451,Mon May 18 06:40:56 PDT 2009,NO_QUERY,beyongolia,Someone just mentioned that open office may cool my Microsoft fury - lightbulb moment  Thanks Pete.
0,2192444889,Tue Jun 16 07:02:54 PDT 2009,NO_QUERY,mibly,Just seen my first Microsoft surface. It was broken and looked like a bin 
