target,ids,date,flag,user,text
0,2203822557,Wed Jun 17 00:37:08 PDT 2009,NO_QUERY,Helly_K,"@backstreetboys Guys, I don't know why but someone deleted your results in Twitter competition. I'm upset  #BSB"
0,2202893982,Tue Jun 16 22:36:58 PDT 2009,NO_QUERY,FionaVA,Sure wish Twitter would DO something about the SPAMMERS!  
0,2058395082,Sat Jun 06 14:51:20 PDT 2009,NO_QUERY,oh_brandie,@StewartKris I'm sorry that someone hacked your twitter  anyway.. what's up?
0,2235193822,Fri Jun 19 00:38:27 PDT 2009,NO_QUERY,dreezydaphenom,"Man, this Twitter ish is getting boring! "
0,2063746184,Sun Jun 07 03:54:52 PDT 2009,NO_QUERY,natsnapper,anyone else being bombarded with rude naughty followers this morning??!! This will stop me using Twitter if it stays this bad.... 
4,1754376144,Sun May 10 06:03:11 PDT 2009,NO_QUERY,KoolKristin,I've officially joined the twitter world!  I'm a new woman now.  Watch out! 
0,2195512716,Tue Jun 16 11:13:53 PDT 2009,NO_QUERY,GeenaBabes,no one updates there twitter much 
0,1995951893,Mon Jun 01 14:18:08 PDT 2009,NO_QUERY,andygriffwozere,why has this client bug not been fixed yet?  I actually got quite into twitter clients haaaa
4,2015828566,Wed Jun 03 05:36:24 PDT 2009,NO_QUERY,Skatterbrainzy,Good morning everyone  Ive been missing my twitter the past few days. Ill be in later to go thru tweets!
0,1974359968,Sat May 30 12:58:34 PDT 2009,NO_QUERY,justanotherlust,i cant log in to my twitter on my computer! 
0,1973613266,Sat May 30 11:29:43 PDT 2009,NO_QUERY,odinwadleigh,I guess Im getting hacked into on twitter now too. I didn't make that last update about &quot;best video&quot; 
0,1553923914,Sat Apr 18 15:35:02 PDT 2009,NO_QUERY,cshindel,Apparently Twitter is experiencing some delays - my text tweets are showing up like an hour after I send them.   Sad panda.
0,2054551000,Sat Jun 06 07:35:48 PDT 2009,NO_QUERY,coreymat21,Just created a twitter page...it's a little confusing 
0,2051205202,Fri Jun 05 21:06:49 PDT 2009,NO_QUERY,pinksugacupcake,@FeminaPrudentia booo! Not happy! Twitter is a man! Full of promises and delivery is a big let down. 
0,1469555598,Tue Apr 07 06:44:09 PDT 2009,NO_QUERY,BeccaUpjohn,ahhh i just got a twitter yay but i can't put up a pic it won't let me 
4,2004535150,Tue Jun 02 08:21:06 PDT 2009,NO_QUERY,spirawase,woo.. twitter live feed from E3 conference 
0,2192825135,Tue Jun 16 07:36:15 PDT 2009,NO_QUERY,SWNT,"@chalenejohnson It sucks on twitter that we have word limits, so sorry, I have to write you in multiple parts "
4,2014980272,Wed Jun 03 03:19:17 PDT 2009,NO_QUERY,LevienxD,more and more people are using twitter 
0,2199023435,Tue Jun 16 16:54:48 PDT 2009,NO_QUERY,2wenty4frames,signing up to twitter cause i have to for uni 
4,1676194395,Fri May 01 21:20:59 PDT 2009,NO_QUERY,Laselwoo,Myspace Layout? Twitter background? Wallpaper? Request it and it shall happen 
4,2175818582,Mon Jun 15 02:05:15 PDT 2009,NO_QUERY,isisproject,This is a status update to twitter from ICE  Timestamp: Mon Jun 15 11:05:14 CEST 2009
4,1693897052,Mon May 04 00:12:37 PDT 2009,NO_QUERY,stoptheclocknow,oh ya - we should talk lisa and co. into twitter 
0,1995732334,Mon Jun 01 13:57:39 PDT 2009,NO_QUERY,SonjaAislynne,My Twitter inbox isn't working 
4,2175457708,Mon Jun 15 01:02:29 PDT 2009,NO_QUERY,timholl,Breadbox64 - The Commodore 64 Twitter client we've all been waiting for!   http://is.gd/12jtD (via @smashingmag)
4,1984139908,Sun May 31 14:31:10 PDT 2009,NO_QUERY,cyspence,New twitter design 
4,1883602078,Fri May 22 08:48:50 PDT 2009,NO_QUERY,disett,@LBKRepublicans  My pleasure.  I wish Twitter had been around when I was chairman 
0,1966497191,Fri May 29 17:52:34 PDT 2009,NO_QUERY,Turdis,I dont understand this secret code twitter sends messages in 
4,2053183803,Sat Jun 06 03:36:09 PDT 2009,NO_QUERY,LittleLaura,@TomMcLaughlin76 Always a nice surprise these things that twitter does to us! Thankfully not an embarrasing avatar! 
0,2016009703,Wed Jun 03 05:59:32 PDT 2009,NO_QUERY,surviva_chick,@staceythebest89 oh twitter is simple and kinda useless lol but everyone twits anyway xD lots of uni stuff to do 2day  no fun day at all
0,2288527970,Mon Jun 22 19:16:41 PDT 2009,NO_QUERY,tatyana165,How do you change the twitter background??? 
