Topic,Sentiment,TweetDate,Year
apple,2,Tue Oct 18 21:53:25 +0000 2011,2011
apple,2,Tue Oct 18 21:09:33 +0000 2011,2011
apple,2,Tue Oct 18 21:02:20 +0000 2011,2011
apple,2,Tue Oct 18 20:40:10 +0000 2011,2011
apple,2,Tue Oct 18 20:34:00 +0000 2011,2011
apple,2,Tue Oct 18 20:30:50 +0000 2011,2011
apple,2,Tue Oct 18 19:30:39 +0000 2011,2011
apple,2,Tue Oct 18 19:22:35 +0000 2011,2011
apple,2,Tue Oct 18 19:07:11 +0000 2011,2011
apple,2,Tue Oct 18 18:37:41 +0000 2011,2011
apple,2,Tue Oct 18 18:36:46 +0000 2011,2011
apple,2,Tue Oct 18 18:35:43 +0000 2011,2011
apple,2,Tue Oct 18 18:16:09 +0000 2011,2011
apple,2,Tue Oct 18 18:14:01 +0000 2011,2011
apple,2,Tue Oct 18 18:05:50 +0000 2011,2011
apple,2,Tue Oct 18 18:04:25 +0000 2011,2011
apple,2,Tue Oct 18 17:41:43 +0000 2011,2011
apple,2,Tue Oct 18 17:33:54 +0000 2011,2011
apple,2,Tue Oct 18 17:31:29 +0000 2011,2011
apple,2,Tue Oct 18 17:01:58 +0000 2011,2011
apple,2,Tue Oct 18 15:56:32 +0000 2011,2011
apple,2,Tue Oct 18 15:50:05 +0000 2011,2011
apple,2,Tue Oct 18 15:48:32 +0000 2011,2011
apple,2,Tue Oct 18 15:41:41 +0000 2011,2011
apple,2,Tue Oct 18 15:30:15 +0000 2011,2011
apple,2,Tue Oct 18 15:25:35 +0000 2011,2011
apple,2,Tue Oct 18 15:14:30 +0000 2011,2011
apple,2,Tue Oct 18 15:13:40 +0000 2011,2011
apple,2,Tue Oct 18 15:12:22 +0000 2011,2011
apple,2,Tue Oct 18 15:05:11 +0000 2011,2011
apple,2,Tue Oct 18 15:01:37 +0000 2011,2011
apple,2,Tue Oct 18 14:45:01 +0000 2011,2011
apple,2,Tue Oct 18 14:24:38 +0000 2011,2011
apple,2,Tue Oct 18 14:21:47 +0000 2011,2011
apple,2,Tue Oct 18 13:24:57 +0000 2011,2011
apple,2,Tue Oct 18 13:12:27 +0000 2011,2011
apple,2,Tue Oct 18 11:50:18 +0000 2011,2011
apple,2,Tue Oct 18 11:20:05 +0000 2011,2011
apple,2,Tue Oct 18 08:29:38 +0000 2011,2011
apple,2,Tue Oct 18 07:18:51 +0000 2011,2011
apple,2,Tue Oct 18 06:30:27 +0000 2011,2011
apple,2,Tue Oct 18 06:18:01 +0000 2011,2011
apple,2,Tue Oct 18 05:15:18 +0000 2011,2011
apple,2,Tue Oct 18 04:12:45 +0000 2011,2011
apple,2,Tue Oct 18 03:41:23 +0000 2011,2011
apple,2,Tue Oct 18 03:15:59 +0000 2011,2011
apple,2,Tue Oct 18 03:02:26 +0000 2011,2011
apple,2,Tue Oct 18 02:06:26 +0000 2011,2011
apple,2,Tue Oct 18 02:05:18 +0000 2011,2011
apple,2,Tue Oct 18 01:50:17 +0000 2011,2011
apple,2,Tue Oct 18 01:30:56 +0000 2011,2011
apple,2,Tue Oct 18 01:18:05 +0000 2011,2011
apple,2,Tue Oct 18 00:49:03 +0000 2011,2011
apple,2,Tue Oct 18 00:42:22 +0000 2011,2011
apple,2,Mon Oct 17 23:59:19 +0000 2011,2011
apple,2,Mon Oct 17 23:37:29 +0000 2011,2011
apple,2,Mon Oct 17 23:26:52 +0000 2011,2011
apple,2,Mon Oct 17 23:24:52 +0000 2011,2011
apple,2,Mon Oct 17 23:22:04 +0000 2011,2011
apple,2,Mon Oct 17 22:38:18 +0000 2011,2011
apple,2,Mon Oct 17 22:34:31 +0000 2011,2011
apple,2,Mon Oct 17 22:33:41 +0000 2011,2011
apple,2,Mon Oct 17 22:17:59 +0000 2011,2011
apple,2,Mon Oct 17 22:17:57 +0000 2011,2011
apple,2,Mon Oct 17 22:08:32 +0000 2011,2011
apple,2,Mon Oct 17 21:37:21 +0000 2011,2011
apple,2,Mon Oct 17 21:02:16 +0000 2011,2011
apple,2,Mon Oct 17 21:01:10 +0000 2011,2011
apple,2,Mon Oct 17 20:39:00 +0000 2011,2011
